"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 03 14:39:48 GMT 2025","Fri Oct 03 14:40:20 GMT 2025","31553","tests.courses","test_create_course","","","","test_create_course[chromium]",""
"passed","Fri Oct 03 14:39:45 GMT 2025","Fri Oct 03 14:39:46 GMT 2025","1350","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Oct 03 14:39:38 GMT 2025","Fri Oct 03 14:39:40 GMT 2025","1697","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Oct 03 14:39:40 GMT 2025","Fri Oct 03 14:39:42 GMT 2025","1416","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Oct 03 14:39:40 GMT 2025","Fri Oct 03 14:39:41 GMT 2025","1414","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Oct 03 14:39:42 GMT 2025","Fri Oct 03 14:39:44 GMT 2025","2217","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Oct 03 14:39:43 GMT 2025","Fri Oct 03 14:39:43 GMT 2025","793","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Oct 03 14:39:37 GMT 2025","Fri Oct 03 14:39:39 GMT 2025","1995","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Oct 03 14:39:50 GMT 2025","Fri Oct 03 14:39:51 GMT 2025","1467","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Oct 03 14:39:47 GMT 2025","Fri Oct 03 14:39:49 GMT 2025","2672","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Oct 03 14:39:46 GMT 2025","Fri Oct 03 14:39:48 GMT 2025","2067","LMS system","Courses","Courses","","","Create course",""
